Year,Region,Species,Latitude,Latitude_std_err,Longitude,Longitude_std_err,Depth,Depth_std_err
1977,West Coast Triennial,ALL,0,0,0,0,0,0
1980,West Coast Triennial,ALL,0.905610880954038,0.350439384536122,-0.207117561440476,0.0771359712987239,-16.75319702871,5.01387913002494
1983,West Coast Triennial,ALL,1.28092574350595,0.307705506908447,-0.243957425338795,0.0683011277741056,-12.5732292559897,5.9143831901647
1986,West Coast Triennial,ALL,0.573609297222304,0.338645512521565,-0.151289626903879,0.0663986965209927,-23.4029434459161,4.99297495219418
1989,West Coast Triennial,ALL,0.69382454702009,0.331274486636499,-0.155685881670217,0.0763375562540893,-24.8387775296178,5.01675866906839
1992,West Coast Triennial,ALL,1.21890830514274,0.311481188919192,-0.272315612323813,0.0650007277384853,-8.67503827856706,5.08645051748872
1995,West Coast Triennial,ALL,0.477391455029465,0.306215660772999,-0.140171883503255,0.063953095474124,-12.7680801123962,5.65561851014849
1998,West Coast Triennial,ALL,0.852706023066872,0.26631499083457,-0.241951765633314,0.060018578676125,-8.1291444376186,6.06276524913766
2001,West Coast Triennial,ALL,0.82481522458505,0.280983579923144,-0.197379197032917,0.0603331186256928,-9.50972414959496,5.70184622148042
2004,West Coast Triennial,ALL,-0.0829043082843868,0.310913751556954,-0.0610494409434058,0.0626716915095083,-14.0707842819671,5.19293631501197
1980,West Coast Triennial,Actiniaria spp.,46.6412769177406,1.5735664426315,-124.97889020689,0.280314371957262,97.9614544806452,14.1584990575913
1983,West Coast Triennial,Actiniaria spp.,42.420121040744,0.952993901728633,-124.089311665326,0.213973867080594,116.659798068738,11.7290361367782
1986,West Coast Triennial,Actiniaria spp.,41.1568477544559,0.883478520456316,-123.779081903937,0.194525285492001,119.351517958106,8.84851731078764
1989,West Coast Triennial,Actiniaria spp.,45.7831286034233,0.892659345600071,-124.836675268885,0.185511455798661,98.4254622896302,6.39894531893504
1992,West Coast Triennial,Actiniaria spp.,42.4965485954715,0.895854208180686,-124.09869650611,0.198677770444439,106.49844405524,7.44355904115761
1995,West Coast Triennial,Actiniaria spp.,41.4888020455016,0.683902261729367,-123.822765817605,0.188943069625222,136.035272025125,12.5733642395309
1998,West Coast Triennial,Actiniaria spp.,43.9195945704961,0.770772754484522,-124.51068943057,0.137670341524833,149.519499026276,13.564041072806
2001,West Coast Triennial,Actiniaria spp.,46.3248928352769,0.903799096572097,-125.011677014872,0.174867680084005,173.871635042126,25.0173321415513
2004,West Coast Triennial,Actiniaria spp.,45.5714473739777,0.824768169762287,-124.627826073701,0.200590262276881,132.696734578919,19.9426825872928
1977,West Coast Triennial,Allosmerus elongatus,43.4939886055639,1.19008825294876,-124.482052176721,0.148793785854475,135.69091738353,7.33880523589007
1980,West Coast Triennial,Allosmerus elongatus,43.5404,NA,-124.3484,NA,79.84,NA
1983,West Coast Triennial,Allosmerus elongatus,46.4431662824804,0.299702300841054,-124.454069498825,0.102703897084194,113.486043641859,14.7704282541685
1986,West Coast Triennial,Allosmerus elongatus,47.1693276143962,0.734602722010903,-124.79663663755,0.212175304542046,100.599030638727,18.7371932857555
1989,West Coast Triennial,Allosmerus elongatus,43.3151443475824,1.16404247747816,-124.50286373593,0.220932895563201,99.1583210213747,10.0356963904958
1992,West Coast Triennial,Allosmerus elongatus,43.2209371765918,0.909503434641678,-124.467246960679,0.123679011912256,91.052658371668,7.72784475736502
1995,West Coast Triennial,Allosmerus elongatus,40.9727913269335,1.22133908352906,-124.42224505327,0.0538420600467767,132.697590794867,14.7432628910195
1998,West Coast Triennial,Allosmerus elongatus,47.7436088362876,0.431572989501853,-125.093355212403,0.212348389371399,127.529480989012,12.3998646510306
2001,West Coast Triennial,Allosmerus elongatus,43.6105610666873,1.9688594374651,-124.450214501107,0.397595090469644,81.0689912887832,2.2860613503221
2004,West Coast Triennial,Allosmerus elongatus,43.4756110565289,0.966202574074297,-124.338471519437,0.199858673134452,81.3658304334824,14.7763684264339
1977,West Coast Triennial,Alosa sapidissima,45.4249241817429,1.1681650365423,-124.775565732557,0.230777919831253,138.549741930753,7.34564404539969
1980,West Coast Triennial,Alosa sapidissima,42.2912256651594,1.33809622489693,-124.082628523148,0.267517381554035,113.400525564351,9.0944045292331
1983,West Coast Triennial,Alosa sapidissima,45.4769609185556,0.793500382488338,-124.775247627981,0.18144282928607,134.799280339249,5.19480862569544
1986,West Coast Triennial,Alosa sapidissima,47.8011492867205,0.647054681380847,-125.174062563527,0.157508081234147,99.5011436955391,8.55616464281676
1989,West Coast Triennial,Alosa sapidissima,45.4521565855447,0.798079158186536,-124.373826963418,0.179457244696583,126.647916102022,7.45871550373387
1992,West Coast Triennial,Alosa sapidissima,45.918483549982,0.68349540942406,-124.704802831779,0.133056407934199,129.499839967514,7.93093789046961
1995,West Coast Triennial,Alosa sapidissima,45.6979259160358,0.588364332264939,-124.59279047534,0.120331794258462,128.850994124413,9.36282288375876
1998,West Coast Triennial,Alosa sapidissima,47.0430856552602,0.530226005929665,-124.931662312692,0.125989397884549,150.907687262597,10.9919830340948
2001,West Coast Triennial,Alosa sapidissima,46.3750001040539,0.840334859990146,-124.793781072044,0.189523377584961,120.58473757054,7.28697627392203
2004,West Coast Triennial,Alosa sapidissima,47.7525195478096,0.657360133861414,-125.234493932126,0.169783814195664,136.52171369069,5.67557758379011
1977,West Coast Triennial,Anoplopoma fimbria,46.5003113920549,0.532023834476062,-125.018713062701,0.106651564181087,171.436706051814,13.8786281648019
1980,West Coast Triennial,Anoplopoma fimbria,40.3358919835303,0.771854640929709,-123.599448124133,0.202629682654357,113.261484112712,15.6726126842636
1983,West Coast Triennial,Anoplopoma fimbria,45.3358615235891,0.43538195426036,-124.643965279088,0.0855757959967932,201.650862839963,14.7971173360014
1986,West Coast Triennial,Anoplopoma fimbria,43.645153697153,0.696224037870026,-124.523766328018,0.134885125042934,165.863442787663,12.9628192082964
1989,West Coast Triennial,Anoplopoma fimbria,44.641050409829,0.634288725378592,-124.627570880725,0.104546383232287,168.951600042726,10.2705023783603
1992,West Coast Triennial,Anoplopoma fimbria,45.2367428819844,0.343780725704651,-124.740341102377,0.0594185488915454,211.813132023673,8.84014320059196
1995,West Coast Triennial,Anoplopoma fimbria,45.1979369196566,0.470918819810641,-124.799975696291,0.091641777706846,201.63045192224,12.5759493945032
1998,West Coast Triennial,Anoplopoma fimbria,45.8573322060144,0.445829831392272,-124.873608899353,0.085704846744723,194.802714477322,13.2741444103146
2001,West Coast Triennial,Anoplopoma fimbria,44.8984654551615,0.75246822073019,-124.605256907024,0.158661144662812,128.318474183865,11.3476338692111
2004,West Coast Triennial,Anoplopoma fimbria,46.6029102886406,0.69782955777519,-125.098968510083,0.133873226011673,160.073680636105,12.1387459443149
1980,West Coast Triennial,Aphroditidae spp.,46.0351054364677,1.50009812697975,-124.591680956598,0.0662071340035837,101.644750852933,28.2963434788597
1983,West Coast Triennial,Aphroditidae spp.,47.2115308806049,0.511689432110011,-124.922533994015,0.155124684589071,133.259110935038,15.8586493154278
1986,West Coast Triennial,Aphroditidae spp.,47.1728248112346,0.739856716867882,-125.02408676885,0.185004307812361,147.888453531835,20.3778312815556
1989,West Coast Triennial,Aphroditidae spp.,44.9237275154933,2.02555650454466,-124.814443668994,0.357777406790281,143.833389209943,17.3959053623048
1992,West Coast Triennial,Aphroditidae spp.,43.4734841836885,0.340467280763974,-124.61819665884,0.0845630698372153,201.386732505198,37.2526983487772
1995,West Coast Triennial,Aphroditidae spp.,46.9779211919944,1.37554644621749,-125.150080946507,0.257318361315476,166.768863253476,20.6444166013353
1998,West Coast Triennial,Aphroditidae spp.,45.8619317611478,0.770436467365241,-124.974367684706,0.116743784879937,162.382919321776,11.923443071309
2001,West Coast Triennial,Aphroditidae spp.,46.1479266725737,0.748626131164898,-124.968014516341,0.126932366814172,139.820716635635,11.2715745541133
2004,West Coast Triennial,Aphroditidae spp.,46.0088026142099,1.03295054477435,-124.884688692769,0.208879755556052,141.878042444114,16.1253995203933
1977,West Coast Triennial,Apristurus brunneus,38.47,NA,-123.662413793103,NA,344,NA
1980,West Coast Triennial,Apristurus brunneus,44.651319009115,0.689730058179192,-124.634512099537,0.0535584876114253,228.765787862314,51.4477278067058
1983,West Coast Triennial,Apristurus brunneus,43.9538566765587,0.627162129392651,-124.70468101165,0.0484558655300566,276.221653007653,24.5712257210446
1986,West Coast Triennial,Apristurus brunneus,43.2034152666408,0.798967371508086,-124.588175571229,0.147251449066148,236.92680470731,44.910477362776
1989,West Coast Triennial,Apristurus brunneus,42.118602964105,1.66906016484162,-124.604756596689,0.445171905911577,240.788394954685,20.7350758428565
1992,West Coast Triennial,Apristurus brunneus,43.5374133747079,0.454663853529986,-124.723659111213,0.0119076957064154,244.05454890501,35.7386307531298
1995,West Coast Triennial,Apristurus brunneus,42.563355300869,0.782678482384751,-124.306027988734,0.163565723423355,218.042916968615,34.3397992843625
1998,West Coast Triennial,Apristurus brunneus,39.2603466242034,1.06129442767505,-123.786343309429,0.210184571277676,248.543843496391,18.8485228495363
2001,West Coast Triennial,Apristurus brunneus,42.5538824117176,0.803378236333699,-124.44620542253,0.199810277262597,253.308068680316,19.5773427288637
2004,West Coast Triennial,Apristurus brunneus,42.8231135077174,0.604225629602997,-124.529595736753,0.130893998151193,245.011364464037,27.7310235317305
1977,West Coast Triennial,Asterozoa spp.,38.4566955646151,0.0113779527559039,-123.561288337033,0.0864824871029057,219.960308992806,106.07874015748
1980,West Coast Triennial,Asterozoa spp.,45.5095109630621,0.728976121286038,-124.666773493236,0.142117374543998,140.545196791155,17.4893497063835
1983,West Coast Triennial,Asterozoa spp.,42.4645993730579,0.748017214439734,-124.157930240431,0.155613028487253,128.042271127184,9.7860855556015
1986,West Coast Triennial,Asterozoa spp.,41.6443597402845,0.783801626897308,-124.018568805131,0.153328128022901,128.20397481382,11.7199801580853
1989,West Coast Triennial,Asterozoa spp.,43.0320102955556,0.693532199514393,-124.294371890082,0.143786715101329,138.844622913677,12.1467287306226
1992,West Coast Triennial,Asterozoa spp.,43.6885196744136,0.60217801463652,-124.492205824128,0.105976119723474,149.106604349638,12.4211276281251
