Year,Region,Species,Latitude,Latitude_std_err,Longitude,Longitude_std_err,Depth,Depth_std_err
2003,West Coast Annual,ALL,0,0,0,0,0,0
2004,West Coast Annual,ALL,0.344997303661635,0.225999982925596,0.132594255403778,0.0490067388965277,-0.909675068678958,4.53004761236228
2005,West Coast Annual,ALL,0.206768195829384,0.197040817573734,0.12396838696693,0.041757927052218,-3.33443525474688,4.01415308413524
2006,West Coast Annual,ALL,0.564012759417221,0.201478869996166,0.0528788424569294,0.0418410313192997,-6.33509053335577,4.18450517812889
2007,West Coast Annual,ALL,0.95629824518841,0.206561432800305,-0.0505965350891622,0.0397765566285811,-7.7764975392623,4.12639593032673
2008,West Coast Annual,ALL,0.545561278033987,0.239245738202776,0.105905749745536,0.0509338810416126,-6.57768088867504,4.01130243652689
2009,West Coast Annual,ALL,0.715722471232459,0.209197912173928,0.0246988832991376,0.0401458587055542,-3.95630460775746,4.26014912841583
2010,West Coast Annual,ALL,1.01339986240035,0.210507854243166,-0.0314085563448883,0.0398410165390962,8.75009832873907,4.54175471334365
2011,West Coast Annual,ALL,0.750885015422552,0.233182448942904,0.00359178092364679,0.0426304880271261,-1.28243409700954,4.10738824674137
2012,West Coast Annual,ALL,0.726127616855172,0.228533226005037,0.0545823208494538,0.039799180725093,0.790302778365939,4.22758454899018
2013,West Coast Annual,ALL,0.755703195130702,0.212836083291204,0.00851140066250496,0.0463504434793091,2.46636456875609,5.01946845993478
2014,West Coast Annual,ALL,0.657685189428944,0.217439392358914,0.0324707684630602,0.0381696731624416,1.01019548014017,3.9837083888159
2015,West Coast Annual,ALL,1.09015740338553,0.191440165359379,-0.0476140104044364,0.0353915916997372,5.14729804619941,4.50678959862908
2003,West Coast Annual,Acantholithodes hispidus,46.9822595517618,1.05504740344297,-124.895864984519,0.123235943403022,165.83930088078,34.9436652142481
2004,West Coast Annual,Acantholithodes hispidus,44.6430188683019,NA,-124.665377358679,NA,244.105660377358,NA
2005,West Coast Annual,Acantholithodes hispidus,44.315262388567,0.398893697395951,-124.541545276429,0.110470031293372,180.174731790679,51.310622127817
2006,West Coast Annual,Acantholithodes hispidus,43.5614704957627,NA,-124.541275894407,NA,138.118644067797,NA
2007,West Coast Annual,Acantholithodes hispidus,44.0145264584522,1.08081496206213,-124.622115814468,0.085165016919572,148.865919324333,15.4103167013383
2008,West Coast Annual,Acantholithodes hispidus,47.5000930294811,NA,-124.927811844858,NA,146.716981132075,NA
2009,West Coast Annual,Acantholithodes hispidus,47.0785770788541,3.00445810946631,-124.850282229302,0.61096902075076,145.654016880189,7.06098105347228
2010,West Coast Annual,Acantholithodes hispidus,45.0431235751274,0.366787681602449,-124.523299771248,0.0960253087993979,189.62522839165,30.6142022534817
2011,West Coast Annual,Acantholithodes hispidus,44.0532558392765,0.610461054123769,-124.580327640116,0.0444416022206649,151.857139751598,17.7853006761763
2012,West Coast Annual,Acantholithodes hispidus,45.2592272392387,0.850589404032936,-124.389932582571,0.132678224673017,149.523339596926,9.05407432651444
